Country,Country.CSIS
Albania,Albania
AUS,Australia
Austria,Austria
AUT,Austria
BEL,Belgium
Belgium,Belgium
BGR,Bosnia & Herzegovina
Bosnia & Herzegovina,Bosnia & Herzegovina
bul,Bulgaria
BG,Bulgaria
Bulgaria,Bulgaria
CAN,Canada
Cech Republic,Czech Republic
CHE,Switzerland
Chezk Republic,Czech Republic
cro,Croatia
Croatia,Croatia
CYP,Cyprus
Cyprus,Cyprus
CZE,Czech Republic
Czech Republic,Czech Republic
den,Denmark
Denmark,Denmark
DEU,Germany
DNK,Denmark
ESP,Spain
EST,Estonia
Estonia,Estonia
EU 10,EU 10
EU 7,EU 7
EU 8,EU 8
EU 9,EU 9
EU.10,EU 10
EU.7,EU 7
EU.8,EU 8
EU.9,EU 9
FIN,Finland
Finland,Finland
FR,France
FRA,France
France,France
GBR,United Kingdom
GDR,German Democratic Republic
GER,Germany
Germany,Germany
GR,Greece
GRC,Greece
gre,Greece
Great Britain,United Kingdom
Greece,Greece
hun,Hungary
Hungary,Hungary
Iceland,Iceland
ire,Ireland
Ireland,Ireland
IRL,Ireland
ISL,Iceland
IT,Italy
ITA,Italy
Italy,Italy
JPN,Japan
lat,Latvia
Latvia,Latvia
lith,Lithuania
Lithuania,Lithuania
LTU,Lithuania
LUX,Luxembourg
Luxembourg,Luxembourg
LVA,Latvia
Macedonia,Macedonia
"Macedonia, FYR",Macedonia
mal,Malta
Malta,Malta
MLT,Malta
Moldova,Moldova
Montenegro,Montenegro
net,Netherlands
Netherlands,Netherlands
NL,Netherlands
NLD,Netherlands
nor,Norway
Norway,Norway
NZL,New Zealand
PL,Poland
pol,Poland
Poland,Poland
por,Portugal
Portugal,Portugal
PRT,Portugal
PT,Portugal
RO,Romania
rom,Romania
Romania,Romania
ROU,Romania
RU,Russia
Russia,Russia
Russian,Russia
Russian.Federation,Russia
SE,Serbia
Serbia,Serbia
Serbia*,Serbia
sle,Slovenia
slo,Slovakia
Slovak.Republic,Slovakia
Slovakia,Slovakia
Slovenia,Slovenia
SP,Spain
spa,Spain
Spain,Spain
SVK,Slovakia
SVN,Slovenia
swe,Sweden
Sweden,Sweden
swi,Switzerland
Switzerland,Switzerland
TR,Turkey
tur,Turkey
Turkey,Turkey
UK,United Kingdom
United Kingdom,United Kingdom
United.Kingdom,United Kingdom
USA,United States
SK,Slovakia
