Country,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,CAGR 2001-2013,Selected Countries
Albania,Mil EURO,,,,,,,,,36.46163086,10.29467318,12.96279306,21.58962869,13.73457097,,FALSE
Austria,Mil EURO,,,,,544.0036918,555.3447327,549.9498268,622.0575699,505.5222242,500.4480674,,,,,FALSE
Belgium,Mil EURO,875.561509,779.610842,805.9019653,727.518615,644.4829063,655.5240739,607.2097348,839.7082787,656.4326102,662.58088,666.2163156,663.7267369,713.52,-0.016909972,FALSE
Bosnia & Herzegovina,Mil EURO,,,,,,,,,,,,,,,FALSE
Bulgaria,Mil EURO,,,,235.25504,265.2983521,272.8940771,273.5456103,239.2733637,156.4750206,129.5319669,144.1576843,171.6451865,118.0761615,,FALSE
Croatia,Mil EURO,,,,,,,,,137.8127345,150.7532999,134.2245206,112.8845458,127.8211241,,FALSE
Cyprus,Mil EURO,,,,,131.1069151,164.6123969,139.0896227,101.3008187,96.39066284,70.04164556,,,,,FALSE
Czech Republic,Mil EURO,453.8865862,555.3341297,648.927226,482.288212,710.9492612,619.6742517,600.6237681,656.9528625,628.483754,640.8174715,508.8409517,379.5597211,415.7852329,-0.007279914,TRUE
Denmark,Mil EURO,1038.779529,1125.51694,1061.597408,891.587319,1055.79124,1161.499297,1035.156931,968.8797157,1108.37131,1207.433997,1238.74909,1420.04625,1320.176104,0.02017742,FALSE
Estonia,Mil EURO,,,,6.572517165,7.840917284,9.152386559,8.452585109,10.69641416,8.431547428,7.092989226,8.112634724,10.87965449,7.2663885,,FALSE
Finland,Mil EURO,,,,,950.8100975,1163.98662,391.0463789,408.402697,669.7079154,697.7,,,,,FALSE
France,Mil EURO,7119.472127,7432.943996,7568.931949,8206.861365,7687.095748,7999.787857,8568.797734,8588.263983,8847.834152,7753.887512,7818.730884,6684.113384,7840.998,0.008076821,TRUE
Germany,Mil EURO,7506.524062,7810.202092,7662.914105,7471.186937,8040.282804,8101.320453,8910.89933,8747.988796,8861.826704,8987.773623,9740.145279,10858.97878,11242.134,0.034230854,TRUE
Greece,Mil EURO,1623.864823,1080.914538,677.6906598,779.7554953,589.3959362,656.4711258,615.2661719,640.4101098,1086.691869,954.4401425,757.9669274,794.2728884,560.025,-0.084893876,TRUE
Hungary,Mil EURO,622.822296,575.2570957,607.5719881,531.8820901,659.9740108,456.0902014,571.8995344,510.6560498,392.2024338,327.4463211,377.1974039,469.7992658,326.5064493,-0.052395093,FALSE
Ireland,Mil EURO,,,,,59.03788459,83.80445262,90.79010458,119.3829161,100.18884,95.64342002,,,,,FALSE
Italy,Mil EURO,5148.316705,4070.453938,4245.405289,3963.901989,4004.732775,3081.754127,2802.556894,3609.18773,3060.186246,2847.249727,2733.144004,2737.491587,1423.725,-0.101578635,TRUE
Latvia,Mil EURO,,,,114.310899,110.0901538,168.6859983,151.3212891,108.7523987,82.97808969,49.11216516,62.74353655,57.75773221,59.94592075,,FALSE
Lithuania,Mil EURO,,,,130.7697776,92.22001895,108.1889723,109.3985527,118.7004269,84.01321636,76.21918633,74.51655436,53.59197181,58.67937306,,FALSE
Luxembourg,Mil EURO,31.81978852,28.36535963,30.66348188,31.02379021,32.00264368,31.35042032,33.56619036,32.76564972,38.63879058,32.65607986,39.87224802,35.24953174,41.327,0.022024678,FALSE
Macedonia,Mil EURO,,,,,,,,,,,,,,,FALSE
Malta,Mil EURO,,,,,7.7,9.678131849,7.9,9.1,11,8,,,,,FALSE
Moldova,Mil EURO,,,,,,,,,,,,,,,FALSE
Montenegro,Mil EURO,,,,,,,,,,,,,,,FALSE
Netherlands,Mil EURO,2616.125085,2440.882452,2499.462859,2599.518995,2551.148299,2831.659482,2764.483265,2463.432827,2650.90893,2515.479176,2268.919733,2067.967996,2162.006,-0.015762595,TRUE
Norway,Mil EURO,1880.04278,2344.993854,2004.951067,1839.245576,2045.492046,1594.710159,1605.838328,1453.147416,1758.427609,1876.268641,1934.485649,1993.829785,1921.720123,0.00182885,FALSE
Poland,Mil EURO,1297.123995,1104.831747,955.6415676,988.011886,1232.341829,1419.191518,1457.369434,1144.113761,1056.521319,1443.119262,1410.381706,1552.83933,1582.177338,0.016692154,TRUE
Portugal,Mil EURO,426.7114548,274.6293971,319.3459057,448.0654561,403.2249574,355.0618454,309.2900725,363.8288638,415.6991831,458.0442427,252.8488869,293.519967,420.168,-0.001286955,TRUE
Romania,Mil EURO,,,,864.2308389,676.7499947,379.8552674,305.6553606,343.9206894,235.4982478,228.1956575,221.548412,201.7632477,167.1651033,,TRUE
Serbia*,Mil EURO,,,,,,,,,,,,,,,FALSE
Slovakia,Mil EURO,,,,266.841941,296.5822949,316.6060563,292.520711,323.6873353,266.377275,208.2323451,173.2563937,187.5476967,148.896,,FALSE
Slovenia,Mil EURO,,,,80.30085996,111.122935,148.1719244,136.800851,151.0878314,123.5254652,105.0886719,88.99110544,76.2887285,65.688,,FALSE
Spain,Mil EURO,2265.500814,2363.582893,2319.289566,2479.710022,2516.386603,2697.613431,2938.057023,2764.597768,2665.794132,2610.513634,2692.563697,2080.900824,1835.892,,TRUE
Sweden,Mil EURO,,,,,,1799,1768,1768,1009,2275,,,,,FALSE
Switzerland,Mil EURO,,,,,,,,,,,,,,,FALSE
Turkey,Mil EURO,5062.463621,3684.854354,2254.225977,2080.726917,2294.500864,2228.883502,2446.292263,2540.847243,2596.934329,2566.399678,2310.762767,2198.634572,2021.36755,-0.073653181,TRUE
United Kingdom,Mil EURO,18580.72729,18402.17021,17803.34628,17355.86356,18994.51259,19730.68694,21012.82467,20246.55984,17843.01967,18451.38511,18330.26607,18148.34855,18102.55259,-0.002170302,TRUE
