Country,Year,Desirable,Undesirable,Spread
USA,2002,83,14,69
UK,2002,72,25,47
PL,2002,64,22,42
NL,2002,75,23,52
IT,2002,63,33,30
GER,2002,68,27,41
FR,2002,48,48,0
EU 7,2002,64,31,33
UK,2003,55,38,17
PT,2003,43,44,-1
PL,2003,53,34,19
NL,2003,57,41,16
IT,2003,46,50,-4
GER,2003,45,50,-5
FR,2003,27,70,-43
EU 7,2003,45,49,-4
UK,2004,54,37,17
TR,2004,16,69,-53
SP,2004,18,76,-58
PT,2004,32,49,-17
PL,2004,39,47,-8
NL,2004,59,40,19
IT,2004,41,56,-15
GER,2004,37,60,-23
FR,2004,24,73,-49
EU 8,2004,36,58,-22
EU 7,2004,39,55,-16
USA,2005,85,12,73
UK,2005,53,41,12
TR,2005,17,74,-57
SP,2005,22,73,-51
PT,2005,44,47,-3
PL,2005,42,44,-2
NL,2005,58,40,18
IT,2005,37,62,-25
GER,2005,40,59,-19
FR,2005,28,69,-41
EU 8,2005,39,57,-18
EU 7,2005,41,55,-14
USA,2006,84,14,70
UK,2006,48,45,3
TR,2006,14,69,-55
SP,2006,19,78,-59
PT,2006,37,52,-15
PL,2006,39,44,-5
NL,2006,51,44,7
IT,2006,34,62,-28
GER,2006,44,54,-10
FR,2006,30,65,-35
EU 8,2006,37,58,-21
EU 7,2006,40,54,-14
USA,2007,84,12,72
UK,2007,50,43,7
TR,2007,7,74,-67
SP,2007,18,79,-61
PT,2007,33,52,-19
PL,2007,40,43,-3
NL,2007,52,44,8
IT,2007,37,61,-24
GER,2007,38,59,-21
FR,2007,28,64,-36
EU 9,2007,36,56,-20
EU 8,2007,36,57,-21
EU 7,2007,39,54,-15
USA,2008,80,16,64
UK,2008,48,46,2
TR,2008,7,71,-64
SP,2008,18,78,-60
PT,2008,33,54,-21
PL,2008,35,47,-12
NL,2008,52,45,7
IT,2008,40,59,-19
GER,2008,39,59,-20
FR,2008,28,68,-40
EU 9,2008,36,58,-22
EU 8,2008,36,59,-23
EU 7,2008,38,56,-18
USA,2009,87,9,78
UK,2009,64,30,34
TR,2009,15,66,-51
SP,2009,42,56,-14
PT,2009,55,34,21
PL,2009,41,39,2
NL,2009,67,27,40
IT,2009,55,43,12
GER,2009,65,33,32
FR,2009,52,42,10
EU 9,2009,54,39,15
EU 8,2009,55,40,15
EU 7,2009,58,37,21
USA,2010,84,15,69
UK,2010,74,21,53
TR,2010,17,67,-50
SP,2010,44,53,-9
PT,2010,59,37,22
PL,2010,46,41,5
NL,2010,68,28,40
IT,2010,55,42,13
GER,2010,59,39,20
FR,2010,46,51,-5
EU 9,2010,56,39,17
EU 8,2010,55,40,15
EU 7,2010,57,38,19
USA,2011,85,14,71
UK,2011,66,27,39
TR,2011,16,69,-53
SP,2011,35,60,-25
SE,2011,64,34,30
PT,2011,58,38,20
PL,2011,49,30,19
NL,2011,69,25,44
IT,2011,56,39,17
GER,2011,60,36,24
FR,2011,48,49,-1
EU 9,2011,54,39,15
EU 8,2011,54,39,15
EU 7,2011,57,36,21
USA,2012,82,14,68
UK,2012,62,32,30
TR,2012,25,58,-33
SP,2012,38,60,-22
SE,2012,58,38,20
RU,2012,19,64,-45
PT,2012,55,39,16
PL,2012,39,43,-4
NL,2012,65,27,38
IT,2012,48,49,-1
GER,2012,61,38,23
FR,2012,56,43,13
EU 9,2012,52,42,10
EU 8,2012,52,43,9
EU 7,2012,53,41,12
USA,2013,77,18,59
UK,2013,65,27,38
TR,2013,21,68,-47
SP,2013,31,67,-36
SE,2013,63,35,28
PT,2013,58,37,21
PL,2013,50,33,17
NL,2013,64,31,33
IT,2013,55,40,15
GER,2013,63,34,29
FR,2013,53,44,9
EU 9,2013,54,39,15
EU 8,2013,54,40,14
EU 7,2013,58,35,23
USA,2014,83,13,70
UK,2014,65,29,36
TR,2014,20,71,-51
SP,2014,39,59,-20
SE,2014,62,34,28
RU,2014,10,81,-71
PT,2014,53,37,16
PL,2014,61,28,33
NL,2014,68,27,41
IT,2014,55,42,13
GR,2014,31,65,-34
GER,2014,60,38,22
FR,2014,52,48,4
EU 9,2014,56,40,16
EU 8,2014,56,40,16
EU 7,2014,58,37,21
EU 10,2014,56,41,15
